Nombre_Enfermedad,Origen,Tratamiento,Fiebre,Tos_Seca,Tos_Productiva,Rinorrea,Estornudos,Dolor_Garganta,Disnea,Sibilancias,Dolor_Pecho,Fatiga,Cianosis,Expectoracion_Purulenta,Perdida_Olfato,Congestion_Nasal,Crepitantes_Pulmonares
Resfriado_Comun,"Viral (Rhinovirus / Coronavirus estacional). Contagio por gotas respiratorias o contacto directo con superficies contaminadas.","Tratamiento sintomático: reposo, hidratación abundante, analgésicos/antipiréticos (paracetamol o ibuprofeno), descongestionantes nasales. No requiere antibióticos.",0.2,0.4,0.3,0.9,0.9,0.6,0.1,0.0,0.0,0.3,0.0,0.0,0.7,0.8,0.0
Influenza,"Viral (Influenzavirus A/B). Alta transmisibilidad por aerosoles. Brotes estacionales en otoño-invierno.","Antivirales (oseltamivir en primeras 48 h), reposo estricto, hidratación, antipiréticos. Prevención con vacunación anual.",0.9,0.8,0.2,0.4,0.3,0.5,0.4,0.1,0.3,0.9,0.0,0.1,0.1,0.4,0.1
COVID-19,"Viral (SARS-CoV-2). Transmisión por aerosoles y gotas. Alta variabilidad clínica según variante y estado vacunal del paciente.","Manejo sintomático en casos leves. Antivirales (nirmatrelvir/ritonavir) en grupos de riesgo. Hospitalización y oxigenoterapia en casos graves. Vacunación preventiva.",0.7,0.7,0.1,0.3,0.2,0.4,0.6,0.1,0.4,0.8,0.2,0.1,0.9,0.6,0.2
Neumonía_Bacteriana,"Bacteriana (Streptococcus pneumoniae, Haemophilus influenzae). Infección del parénquima pulmonar; frecuente en adultos mayores e inmunocomprometidos.","Antibióticos (amoxicilina-clavulanato o macrólidos). Hospitalización si saturación O₂ < 94%. Oxigenoterapia, fisioterapia respiratoria y vacunación neumocócica preventiva.",0.9,0.3,0.8,0.1,0.0,0.2,0.7,0.1,0.8,0.9,0.3,0.9,0.0,0.1,0.9
Bronquitis_Aguda,"Viral (80%) o bacteriana secundaria. Inflamación de la mucosa bronquial; frecuente post-infección respiratoria alta.","Reposo, hidratación, mucolíticos (acetilcisteína), broncodilatadores si hay sibilancias. Antibióticos solo si etiología bacteriana confirmada.",0.4,0.5,0.7,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.0,0.6,0.1,0.3,0.2
Asma_Bronquial,"Multifactorial: genética, alérgenos, contaminación, infecciones. Inflamación crónica de vías aéreas con hiperreactividad bronquial reversible.","Broncodilatadores de acción corta (salbutamol) para crisis. Corticosteroides inhalados para control crónico. Evitar desencadenantes. Plan de acción escrito.",0.1,0.6,0.1,0.3,0.4,0.1,0.8,0.9,0.5,0.6,0.1,0.0,0.0,0.3,0.1
EPOC_Exacerbacion,"Tabáquica o por exposición crónica a contaminantes. Destrucción progresiva del parénquima pulmonar e inflamación crónica de vías aéreas.","Broncodilatadores de acción larga (tiotropio, salmeterol), corticosteroides orales en exacerbación, oxigenoterapia domiciliaria si PaO₂ < 60 mmHg. Cesación tabáquica.",0.3,0.4,0.9,0.1,0.1,0.1,0.9,0.7,0.6,0.9,0.5,0.8,0.0,0.2,0.6
Sinusitis_Aguda,"Bacteriana (S. pneumoniae) o viral secundaria a rinitis. Inflamación de los senos paranasales con obstrucción del ostium de drenaje.","Lavados nasales salinos, descongestionantes tópicos, analgésicos. Antibióticos (amoxicilina) si síntomas > 10 días o empeoramiento brusco. Corticosteroides nasales.",0.5,0.2,0.4,0.7,0.5,0.4,0.0,0.0,0.1,0.4,0.0,0.3,0.5,0.9,0.0
Tuberculosis_Pulmonar,"Bacteriana (Mycobacterium tuberculosis). Transmisión aérea. Afecta principalmente lóbulos superiores. Factor de riesgo: inmunosupresión, hacinamiento, VIH.","Esquema DOTS/TAES: isoniacida + rifampicina + pirazinamida + etambutol por 6 meses bajo supervisión directa. Aislamiento respiratorio al inicio. Notificación obligatoria.",0.6,0.3,0.8,0.0,0.0,0.1,0.5,0.2,0.5,0.9,0.1,0.7,0.2,0.0,0.7
Faringoamigdalitis_Estreptococica,"Bacteriana (Streptococcus pyogenes grupo A). Transmisión por gotas. Más frecuente en niños de 5-15 años durante temporada invernal.","Antibióticos (penicilina V o amoxicilina por 10 días o benzatínica IM dosis única). Analgésicos-antipiréticos. Gargarismos con agua tibia con sal. Reposo relativo.",0.8,0.1,0.2,0.2,0.1,0.9,0.1,0.0,0.1,0.6,0.0,0.2,0.0,0.5,0.0
